SMILES,CB1
NS(=O)(=O)c1ccc(NC(=S)NC(=O)c2ccc(cc2)c3ccccc3)cc1,0
C=CCN(CC=C)S(=O)(=O)c1ccc(NC(=S)NC(=O)c2ccc(cc2)c3ccccc3)cc1,0
CC(C)NS(=O)(=O)c1ccc(NC(=S)NC(=O)c2ccc(cc2)c3ccccc3)cc1,0
O=C1NC(C(=O)N1c2ccccc2)c3ccccc3,1
O=C1CNC(=O)N1c2ccccc2,1
CCCCN1C(=S)NC(C1=O)(c2ccccc2)c3ccccc3,1
CCCCC\C=C\c1c(O)cc(CC=C(C)C)c(O)c1C=O,1
CCCCC\C=C\c1c(O)cc(CC=C(C)C)c(O)c1CO,1
CCCCCCCc1c(O)cc(CC=C(C)C)c(O)c1C=O,1
CCC\C=C\C=C\c1c(O)cc(CC=C(C)C)c(O)c1C=O,1
O=S(=O)(\C(=C\c1cn(CCN2CCCCC2)c3ccccc13)\C#N)c4ccccc4,0
Clc1ccc(cc1)C2(NC(=S)N(Cc3ccccc3)C2=O)c4ccc(Cl)cc4,0
OCCCN1C(=S)NC(C1=O)(c2ccccc2)c3ccccc3,1
CCCCCCN1C(=S)NC(C1=O)(c2ccccc2)c3ccccc3,1
CCCCCCCN1C(=S)NC(C1=O)(c2ccc(Br)cc2)c3ccc(Br)cc3,1
CCCCCCCCN1C(=S)NC(C1=O)(c2ccc(Br)cc2)c3ccc(Br)cc3,1
CCCCCCCCN1C(=S)NC(C1=O)(c2ccc(Cl)cc2)c3ccc(Cl)cc3,1
CCCCCN1C=C(C(=O)NC(C)c2cccc3ccccc23)C(=O)c4ccccc14,1
Clc1ccc(cc1)C2(NC(=O)N(Cc3ccccc3)C2=O)c4ccc(Cl)cc4,0
CCCCN1C(=O)CNC1=O,1
CCCCCCCN1C(=O)NC(C1=O)(c2ccccc2)c3ccccc3,1
CCCCCCCCCCN1C(=S)NC(C1=O)(c2ccccc2)c3ccccc3,1
O=C1NC(=O)N(C1c2ccccc2)c3ccccc3,1
CCCCCN1C=C(C(=O)Nc2ccc(OC)cc2)C(=O)c3ccccc13,1
Clc1ccc(cc1)N2C(C(=O)NC2=O)c3ccc(Br)cc3,1
O=C1NC(C(=O)N1c2ccccc2)(c3ccccc3)c4ccccc4,1
CCCCCCCN1C(=O)CNC1=O,1
Brc1ccc(cc1)C2N(C(=O)N(C2=O)c3ccccc3)c4ccccc4,0
CCCCCN1C=C(C(=O)Nc2ccc(Cl)c(Cl)c2)C(=O)c3ccccc13,1
CCCCCN1C=C(C(=O)NCc2ccccc2)C(=O)c3ccccc13,0
CCCCCCCN1C(=S)NC(C1=O)c2ccccc2,1
CCCCCCCCCCN1C(=O)NC(C1=O)(c2ccccc2)c3ccccc3,1
CCCCCCCCCCCCCCN1C(=O)NC(C1=O)(c2ccccc2)c3ccccc3,1
CCCCCN1C=C(C(=O)Nc2cccc3ccccc23)C(=O)c4ccccc14,0
COc1ccc(cc1)N2C(C(=O)N(C2=S)c3ccc(OC)cc3)c4ccccc4,0
CCCCCCCN1C(=O)NC(C1=O)(c2ccc(Cl)cc2)c3ccc(Cl)cc3,1
CCCCN1C=C(C(=O)NCc2ccccc2)C(=O)c3ccccc13,1
CCCCCCCCCCCCCCCCN1C(=S)NC(C1=O)(c2ccccc2)c3ccccc3,1
CCCCCCN1C=C(C(=O)Nc2cccc3ccccc23)C(=O)c4ccccc14,0
CCCCN1C=C(C(=O)Nc2cccc3ccccc23)C(=O)c4ccccc14,1
CCCCCCN1C=C(C(=O)Nc2ccc(OC)cc2)C(=O)c3ccccc13,1
CCCCCCN1C=C(C(=O)NCc2ccccc2)C(=O)c3ccccc13,1
CCCCCN1C=C(C(=O)NC(C)c2ccc3ccccc3c2)C(=O)c4ccccc14,1
CCCCCN1C=C(C(=O)NCc2ccc(OC)cc2)C(=O)c3ccccc13,1
CCCCCN1C=C(C(=O)Nc2ccc3ccccc3c2)C(=O)c4ccccc14,1
CCCCCN1C(=O)C(N(C1=O)c2ccccc2)c3ccccc3,1
CCCCCCCCCCCCCCCCCCN1C(=S)NC(C1=O)(c2ccccc2)c3ccccc3,1
CCCCCN1C=C(C(=O)NCCc2ccc3OCOc3c2)C(=O)c4ccccc14,1
O=C(N1C(=O)C(N(C1=O)c2ccccc2)c3ccccc3)c4ccccc4,1
CCCCN1C(=O)NC(C1=O)(c2ccc(Cl)cc2)c3ccc(Cl)cc3,0
CCCCN1C(=S)NC(C1=O)(c2ccc(Cl)cc2)c3ccc(Cl)cc3,0
CCCCCN1C=C(C(=O)NCCc2ccccc2)C(=O)c3ccccc13,0
O=C1CNC(=S)N1c2ccccc2,1
Oc1ccc(cc1)N2C(C(=O)N(C2=S)c3ccc(O)cc3)c4ccccc4,1
CCCCCN1C=C(C(=O)N2CCOCC2)C(=O)c3ccccc13,1
CCCCCN1C=C(C(=O)Nc2ccc(cc2)c3ccccc3)C(=O)c4ccccc14,1
CCCCCCCCN1C(=O)NC(C1=O)(c2ccc(Cl)cc2)c3ccc(Cl)cc3,1
COc1ccc(cc1)N2C(C(=O)NC2=O)c3ccccc3,1
CCCCCCCC\C=C/CCCCCCCCN1C(=S)NC(C1=O)(c2ccccc2)c3ccccc3,1
CCCCN1C=C(C(=O)Nc2ccc(OC)cc2)C(=O)c3ccccc13,1
Brc1ccc(cc1)C2N(C(=O)NC2=O)c3ccc(Br)cc3,1
CCCCCN1C=C(C(=O)O)C(=O)c2ccccc12,1
CCCCCOc1c(OC)ccc2C=C(C(=O)NCCCc3ccccc3)C(=O)Nc12,0
CCc1c([nH]c2ccc(Cl)cc12)C(=O)NCCc3ccc(cc3)N4CCCC4,0
Cc1c([nH]c2ccc(Cl)cc12)C(=O)NCCc3ccc(cc3)N4CCCCC4,0
CN(C)c1ccc(CCNC(=O)c2cc3cc(Cl)ccc3[nH]2)cc1,0
O=C(NC12CC3CC(CC(C3)C1)C2)c4cc5ccccc5[nH]4,0
CN(CCCCCCCOc1ccc(cc1)c2oc3ccccc3c2C(=O)c4cccc5ccccc45)Cc6ccccc6,1
CN(CCCCCCCOc1ccc(cc1)c2oc3ccccc3c2C(=O)c4ccc5ccccc5c4)Cc6ccccc6,1
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)C(=C1C)c5cccc(c5)C#N,0
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)C(=C1C)c5ccc(C)cc5,0
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)C(=C1C)c5ccccc5,0
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)C(=C1C)c5cccc(c5)C(=O)C,0
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)C(=C1C)I,0
COCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)C=C1C,0
CC1=CC(=O)C(=CN1CCC2CCOCC2)C(=O)NC34CC5CC(CC(C5)C3)C4,0
CC1=CC(=O)C(=CN1CCC2OCCO2)C(=O)NC34CC5CC(CC(C5)C3)C4,0
